MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,TotalPorchSF,FinishedBsmtSF,FinishedBsmtRatio,Basement_to_TotalArea,Garage_to_LivingArea,YearsSinceRemodel,GarageAge,HasSecondFloor,HasBasement,HasGarage,HasFireplace,HasPool,HasPorch,IsRemodeled,Quality_x_Area,Quality_x_Condition,Baths_x_Bedrooms,GarageCars_x_Area,OverallQual_Squared
60,RL,65.0,8450,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,150,856,Ex,Y,SBrkr,856,854,1710,1,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,2,WD,Normal,208500,2566,3.5,61,706,0.8247663551401869,0.33359314107560406,0.32046783625730996,5,5,1,1,1,0,0,1,0,11970,35,10.5,3420,49
20,RL,80.0,9600,Reg,Lvl,FR2,Gtl,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,284,1262,Ex,Y,SBrkr,1262,0,1262,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,5,WD,Normal,181500,2524,2.5,0,978,0.7749603803486529,0.5,0.36450079239302696,31,31,0,1,1,1,0,0,0,7572,48,7.5,2524,36
60,RL,68.0,11250,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,920,Ex,Y,SBrkr,920,866,1786,1,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,9,WD,Normal,223500,2706,3.5,42,486,0.5282608695652173,0.3399852180339985,0.3404255319148936,6,7,1,1,1,1,0,1,1,12502,35,10.5,3572,49
70,RL,60.0,9550,IR1,Lvl,Corner,Gtl,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,540,756,Gd,Y,SBrkr,961,756,1717,1,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,2,WD,Abnorml,140000,2473,2.0,307,216,0.2857142857142857,0.305701577031945,0.37390797903319745,36,8,1,1,1,1,0,1,1,12019,35,6.0,5151,49
60,RL,84.0,14260,IR1,Lvl,FR2,Gtl,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,490,1145,Ex,Y,SBrkr,1145,1053,2198,1,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,12,WD,Normal,250000,3343,3.5,84,655,0.5720524017467249,0.34250673048160335,0.38034576888080074,8,8,1,1,1,1,0,1,0,17584,40,14.0,6594,64
50,RL,85.0,14115,IR1,Lvl,Inside,Gtl,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,64,796,Ex,Y,SBrkr,796,566,1362,1,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,10,WD,Normal,143000,2158,2.5,350,732,0.9195979899497487,0.36886005560704355,0.3524229074889868,14,16,1,1,1,0,0,1,1,6810,25,2.5,2724,25
20,RL,75.0,10084,Reg,Lvl,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,1686,Ex,Y,SBrkr,1694,0,1694,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,8,WD,Normal,307000,3380,3.0,57,1369,0.8119810201660735,0.49881656804733726,0.3754427390791027,2,3,0,1,1,1,0,1,1,13552,40,9.0,3388,64
60,RL,69.0,10382,IR1,Lvl,Corner,Gtl,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,216,1107,Ex,Y,SBrkr,1107,983,2090,1,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,11,WD,Normal,200000,3197,3.5,432,891,0.8048780487804879,0.34626212073819207,0.23157894736842105,36,36,1,1,1,1,0,1,0,14630,42,10.5,4180,49
50,RM,51.0,6120,Reg,Lvl,Inside,Gtl,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,952,952,Gd,Y,FuseF,1022,752,1774,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,4,WD,Abnorml,129900,2726,2.0,205,0,0.0,0.3492296404988995,0.2638105975197294,58,77,1,1,1,1,0,1,1,12418,35,4.0,3548,49
190,RL,50.0,7420,Reg,Lvl,Corner,Gtl,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,140,991,Ex,Y,SBrkr,1077,0,1077,1,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,1,WD,Normal,118000,2068,2.0,4,851,0.858728557013118,0.47920696324951645,0.1903435468895079,58,69,0,1,1,1,0,1,1,5385,30,4.0,1077,25
20,RL,70.0,11200,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,Ex,Y,SBrkr,1040,0,1040,1,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,2,WD,Normal,129500,2080,2.0,0,906,0.8711538461538462,0.5,0.36923076923076925,43,43,0,1,1,0,0,0,0,5200,25,6.0,1040,25
60,RL,85.0,11924,IR1,Lvl,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,177,1175,Ex,Y,SBrkr,1182,1142,2324,1,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,7,New,Partial,345000,3499,4.0,21,998,0.8493617021276596,0.3358102314947128,0.31669535283993117,0,1,1,1,1,1,0,1,1,20916,45,16.0,6972,81
